País,Código,Número,Nome
Host Country Emblem,FWC,6,Canada
Host Country Emblem,FWC,7,Mexico
Host Country Emblem,FWC,8,USA
Algeria,ALG,1,Emblem
Algeria,ALG,2,Alexis Guendouz
Algeria,ALG,3,Ramy Bensebaini
Algeria,ALG,4,Youcef Atal
Algeria,ALG,5,Rayan Aït-Nouri
Algeria,ALG,6,Mohamed Amine Tougai
Algeria,ALG,7,Aïssa Mandi
Algeria,ALG,8,Ismael Bennacer
Algeria,ALG,9,Houssem Aquar
Algeria,ALG,10,Hicham Boudaoui
Algeria,ALG,11,Ramiz Zerrouki
Algeria,ALG,12,Nabil Bentalab
Algeria,ALG,13,Team Photo
Algeria,ALG,14,Farés Chaibi
Algeria,ALG,15,Riyad Mahrez
Algeria,ALG,16,Said Benrhama
Algeria,ALG,17,Anis Hadj Moussa
Algeria,ALG,18,Amine Gouiri
Algeria,ALG,19,Baghdad Bounedjah
Algeria,ALG,20,Mohammed Amoura
Argentina,ARG,1,Emblem
Argentina,ARG,2,Emiliano Martinez
Argentina,ARG,3,Nahuel Molina
Argentina,ARG,4,Cristian Romero
Argentina,ARG,5,Nicolas Otamendi
Argentina,ARG,6,Nicolas Tagliafico
Argentina,ARG,7,Leonardo Balerdi
Argentina,ARG,8,Enzo Fernandez
Argentina,ARG,9,Alexis Mac Allister
Argentina,ARG,10,Rodrigo De Paul
Argentina,ARG,11,Exequiel Palacios
Argentina,ARG,12,Leandro Paredes
Argentina,ARG,13,Team Photo
Argentina,ARG,14,Nico Paz
Argentina,ARG,15,Franco Mastantuono
Argentina,ARG,16,Nico Gonzalez
Argentina,ARG,17,Lionel Messi
Argentina,ARG,18,Lautaro Martinez
Argentina,ARG,19,Julian Alvarez
Argentina,ARG,20,Giuliano Simeone
Australia,AUS,1,Emblem
Australia,AUS,2,Mathew Ryan
Australia,AUS,3,Joe Gauci
Australia,AUS,4,Harry Souttar
Australia,AUS,5,Alessandro Circati
Australia,AUS,6,Jordan Bos
Australia,AUS,7,Aziz Behich
Australia,AUS,8,Cameron Burgess
Australia,AUS,9,Lewis Miller
Australia,AUS,10,Milos Degenek
Australia,AUS,11,Jackson Irvine
Australia,AUS,12,Riley McGree
Australia,AUS,13,Team Photo
Australia,AUS,14,Aiden O'Neill
Australia,AUS,15,Connor Metcalfe
Australia,AUS,16,Patrick Yazbek
Australia,AUS,17,Craig Goodwin
Australia,AUS,18,Kusini Vengi
Australia,AUS,19,Nestory Irankunda
Australia,AUS,20,Mohamed Touré
Austria,AUT,1,Emblem
Austria,AUT,2,Alexander Schlager
Austria,AUT,3,Patrick Pentz
Austria,AUT,4,David Alaba
Austria,AUT,5,Kevin Danso
Austria,AUT,6,Philipp Lienhart
Austria,AUT,7,Stefan Bosch
Austria,AUT,8,Phillipp Mwene
Austria,AUT,9,Alexander Prass
Austria,AUT,10,Xavier Schlager
Austria,AUT,11,Marcel Sabitzer
Austria,AUT,12,Konrad Laimer
Austria,AUT,13,Team Photo
Austria,AUT,14,Florian Grillitsch
Austria,AUT,15,Nicolas Seiwald
Austria,AUT,16,Romano Schmid
Austria,AUT,17,Patrick Wimmer
Austria,AUT,18,Christoph Baumgartner
Austria,AUT,19,Michael Gregoritsch
Austria,AUT,20,Marko Arnautović
Belgium,BEL,1,Emblem
Belgium,BEL,2,Thibaut Courtois
Belgium,BEL,3,Arthur Theate
Belgium,BEL,4,Timothy Castagne
Belgium,BEL,5,Zeno Debast
Belgium,BEL,6,Brandon Mechele
Belgium,BEL,7,Maxim De Cuyper
Belgium,BEL,8,Thomas Meunier
Belgium,BEL,9,Youri Tielemans
Belgium,BEL,10,Amadou Onana
Belgium,BEL,11,Nicolas Raskin
Belgium,BEL,12,Alexis Saelemaekers
Belgium,BEL,13,Team Photo
Belgium,BEL,14,Hans Vanaken
Belgium,BEL,15,Kevin De Bruyne
Belgium,BEL,16,Jérémy Doku
Belgium,BEL,17,Charles De Ketelaere
Belgium,BEL,18,Leandro Trossard
Belgium,BEL,19,Loïs Openda
Belgium,BEL,20,Romelu Lukaku
Bosnia and Herzegovina,BIH,1,Emblem
Bosnia and Herzegovina,BIH,2,Nikola Vasilj
Bosnia and Herzegovina,BIH,3,Amer Dedic
Bosnia and Herzegovina,BIH,4,Sead Kolasinac
Bosnia and Herzegovina,BIH,5,Tarik Muharemovic
Bosnia and Herzegovina,BIH,6,Nihad Mujakic
Bosnia and Herzegovina,BIH,7,Nikola Katic
Bosnia and Herzegovina,BIH,8,Amir Hadziahmetovic
Bosnia and Herzegovina,BIH,9,Benjamin Tahirovic
Bosnia and Herzegovina,BIH,10,Armin Gigovic
Bosnia and Herzegovina,BIH,11,Ivan Sunjic
Bosnia and Herzegovina,BIH,12,Ivan Basic
Bosnia and Herzegovina,BIH,13,Team Photo
Bosnia and Herzegovina,BIH,14,Dzenis Burnic
Bosnia and Herzegovina,BIH,15,Esmir Bajraktarevic
Bosnia and Herzegovina,BIH,16,Amar Memic
Bosnia and Herzegovina,BIH,17,Ermedin Demirovic
Bosnia and Herzegovina,BIH,18,Edin Dzeko
Bosnia and Herzegovina,BIH,19,Samed Bazdar
Bosnia and Herzegovina,BIH,20,Haris Tabakovic
Brazil,BRA,1,Emblem
Brazil,BRA,2,Alisson
Brazil,BRA,3,Bento
Brazil,BRA,4,Marquinhos
Brazil,BRA,5,Éder Militão
Brazil,BRA,6,Gabriel Magalhães
Brazil,BRA,7,Danilo
Brazil,BRA,8,Wesley
Brazil,BRA,9,Lucas Paquetá
Brazil,BRA,10,Casemiro
Brazil,BRA,11,Bruno Guimarães
Brazil,BRA,12,Luiz Henrique
